name,category,ingredient
버섯 취나물 솥밥,한식 도시락 메인요리,현미 렌틸콩 표고버섯 미니 당근 취나물 간장 참기름 물 강황가루 들기름 간장 간장 쪽파 맛술 올리고당 고춧가루 다진마늘 참기름 통깨
비건 요거트,간식 간단요리 채식,두유 비건 그릭요거트 스타터 (또는 비건 유산균 파우더)
키토 치즈 스콘,양식 베이킹 키토,녹인 무염 버터 우유 달걀 잘게 썬 체다치즈 아몬드 가루 오트 파이버 가루 (귀리 식이섬유) 파마산 치즈 가루 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 베이킹파우더
비건 바나나 브라우니,양식 베이킹 키토,바나나 메이플 시럽 두유 포도씨 오일 식초 통밀가루 아몬드 가루 카카오 가루 베이킹파우더 다진 초코칩 카라멜라이징용 황설탕 바나나 슬라이스 (0.5cm 두께)
김치말이두부찜,한식,신김치 두부 느타리 한줌 양파 대파 채수 들기름 간장(국간장) 된장 고춧가루 김치국물 다진 마늘 설탕 후춧가루
쪽파 크림치즈 연어베이글,도시락 간식,베이글 훈제연어 적양파 케이퍼 딜 (생략 가능) 쪽파 크림치즈 설탕 소금
비건 참나물 페스토,채식,참나물 잣 (또는 캐슈넛) 마늘 올리브오일 (엑스트라버진) 소금 후춧가루
비건 참나물 페스토 파스타,초대요리 양식 채식,참나물 페스토 스파게티면 마늘 면수 소금 후춧가루 올리브오일 (엑스트라버진) 참나물 구운 잣
김치 로제파스타,양식 퓨전 메인요리,스파게티 면 배추김치(숙성) 베이컨 냉동 새우살 만가닥 버섯 양파 마늘 청양고추 체다 슬라이스 치즈 설탕 버터 올리브유 파슬리가루 소금 후춧가루 토마토 소스 우유 면수 파르메산 치즈가루
두부 유부초밥,간단요리 다이어트 키토 메인요리,두부 초밥용 유부 초밥 소스 토마토 실파 양파 소금 후춧가루 올리브오일 레몬즙
묵은지 유부 쌈밥,간단요리 한식 메인요리,밥 묵은지 (또는 잘익은 배추김치) 달걀 오이 냉동유부 미나리 된장 고추장 올리고당 고춧가루 다진 마늘 참기름 깨 다시마 육수 간장 맛술 설탕
채식 월남쌈,초대요리 채식 메인요리,두부 당근 오이 표고버섯 파인애플 (손질) 적근대 적양배추 피클 라이스페이퍼 새싹 올리브유 소금 간장 맛술 스윗칠리소스 후춧가루 땅콩버터 식초 케찹 간장 올리고당 설탕 파인애플 (국물) 파프리카 파우더 소금 비건 마요네즈 레몬즙 설탕 적채 물 설탕 식초 (현미식초) 굵은 소금 피클링 스파이스
표고버섯 덮밥,채식 한식,표고버섯 양파 대파 다진 마늘 참기름 식용유 통깨 레드페퍼 밥 간장 올리고당 맛술 설탕 참기름 후추가루
냉이 차돌박이 솥밥,메인요리 한식,냉이 차돌박이 쌀 다시마 육수 간장 다진 마늘 올리고당 참기름 후춧가루 다진 양파 송송 썬 쪽파 간장 맛술 다진 마늘 참기름 매실청 (올리고당으로 대체 가능) 통깨
양파 피클,채식 밑반찬,적양파 마늘 타임 (생략 가능) 물 설탕 식초 소금 피클링 스파이스
버섯 오일 피클,채식 밑반찬,만가닥 버섯 느타리버섯 표고 버섯 마늘 페퍼론치노 레몬즙 소금 후춧가루 엑스트라 버진 올리브유 월계수잎 타임 (생략 가능)
베트남식 무 당근 피클,채식 밑반찬,당근 무 레몬 페퍼론치노 고수(생략가능) 식초 설탕 소금
오이 금귤 피클,채식 양식 밑반찬,오이 금귤 딜 소금 베이킹소다 화이트 발사믹 식초 물 설탕 소금 피클링 스파이스
오렌지 에이드,간단요리 간식,오렌지 (중과) 꿀 (설탕시럽으로 대체 가능) 탄산수 허브(타임) 얼음 장식용 오렌지 조각
크로핀,베이킹,크루아상 생지 생크림 설탕 높은 종이컵 로투스 타임 딸기 식용 색소 핑크 얼그레이 티백
키토 에그 타르트,베이킹 키토,아몬드 가루 코코넛 가루 달걀 녹인 버터 에리스리톨 생크림 달걀노른자 애로루트 가루 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 바닐라 익스트랙 (바닐라 오일 바닐라빈으로 대체 가능)
비건 초코 타르트,양식 베이킹 채식,통밀가루 카카오 파우더 황설탕 포도씨 오일 물 아몬드 가루 통밀가루 마스코바도 설탕 베이킹파우더 소금 두유 포도씨 오일 녹인 다크 초콜렛 체리 메이플 시럽
키토 레몬 타르트,양식 베이킹 키토,녹인 무염 버터 달걀 아몬드 가루 차전자피 가루 소금 베이킹파우더 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 레몬즙 레몬 제스트 (레몬 1.5개 분량) 달걀 버터 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 생크림 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 레몬 슬라이스 허브
비건 레몬 청포도 타르트,양식 베이킹 채식,통밀가루 소금 아가베 시럽 포도씨 오일 두유 레몬 제스트 레몬즙 아가베 시럽 통밀가루 칡 전분 소금 청포도 레몬 슬라이스 (두께 2~3mm)
치킨 크랜베리 샌드위치,간식 간단요리 다이어트 도시락,사워도우 (호밀빵으로 대체가능) 토마토 로메인 삶은 닭 가슴살 크랜베리 호두 매일 그릭요거트 마요네즈 연유 레몬즙 디종 머스타드 소금 후춧가루 마요네즈 연유 홀그레인 머스터드
키토 딸기 타르트,간식 베이킹 키토,녹인 무염 버터 달걀 아몬드 가루 차전자피 가루 소금 베이킹파우더 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 크림치즈 달걀 레몬즙 바닐라 익스트랙 (바닐라 오일 바닐라빈으로 대체 가능) 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 생크림 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 딸기
키토 크림치즈 딸기 쿠키,베이킹 키토,크림치즈 (실온) 무염 버터 (실온) 달걀 (실온) 바닐라 익스트랙 (바닐라 오일 바닐라 빈으로 대체 가능) 깍둑 썬 딸기 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 레몬즙 무가당 초콜릿 칩 아몬드 가루 코코넛 가루 에리스리톨 (알룰로스 가루 라칸토로 대체 가능) 베이킹 파우더 소금
비건 딸기 크림 케이크,양식 베이킹 채식,통밀가루 베이킹파우더 소금 포도씨 오일 두유 황설탕 식초 바닐라 익스트랙 (바닐라 오일이나 빈으로 대체 가능) 시나몬 가루 (생략 가능) 캐슈넛 메이플 시럽 두유 바닐라 익스트랙 (바닐라 오일이나 빈으로 대체 가능) 딸기잼 딸기 허브 (생략 가능)
채식만두,한식 메인요리,삶은 시래기나물 표고버섯 숙주 배추김치 대파 두부 만두피 밀가루 들깨가루 간장 다진 마늘 참기름 소금 후춧가루 간장 식초 맛술 설탕 고춧가루 다진 청양고추 다진 마늘 깨 참기름
풀드포크,초대요리 양식 메인요리,돼지고기(앞다리살) 바베큐소스 스테이크 시즈닝(또는 허브솔트) 꿀(또는 올리고당)
비건 볼로네제 파스타,초대요리 양식 메인요리,쇠고기 다짐육(대체육) 스파게티 면 양파 당근 샐러리 화이트 와인 홀 토마토 월계수 잎 다진 마늘 후춧가루 올리브유 따뜻한 물 허브 가루(바질 파슬리 오레가노 등) 비정제 설탕(원당) 진간장 식초 소금
달걀 만두,간단요리 한식 분식 간식,달걀 당면 대파 당근 식용유 진간장 참기름 설탕 후춧가루 소금 진간장 다진 청양고추 고춧가루 식초 설탕 맛술 통깨
채식 양배추 덮밥,한식 메인요리,양배추 양파 팽이버섯 마늘 쪽파 식용유 밥 소금 후춧가루 통깨 된장 올리고당 맛술 참기름 다진대파 다진 마늘 깨소금
양배추 덮밥,간단요리 한식 메인요리,양배추 베이컨 당근 (생략 가능) 대파 식용유 밥 달걀 깨 참기름 후춧가루 굴 소스 물 간장 설탕
스팸 마요 덮밥,간단요리 한식 메인요리,스팸 양파 밥 달걀 마요네즈 송송 썬 쪽파 식용유 통깨 간장 설탕 물 맛술
고추장 참치 덮밥,간단요리 메인요리,참치캔 잘게 썬 김치 대파 밥 달걀 통깨 참기름 식용유 송송 썬 쪽파 고추장 고춧가루 간장 다진 마늘 설탕 물엿 후춧가루
사색 꼬치전,채식 한식 밑반찬,단무지 빨간 파프리카 쪽파 표고 버섯 부침가루 식용유 나무꼬치 부침가루 물 강황 가루
깻잎 두부전,채식 한식 밑반찬,깻잎 두부 부침가루 소금 후춧가루 식용유 부침가루 물 강황가루 간장 물 식초
김 두부 덮밥,간단요리 채식 한식 메인요리,부침 두부 도시락 김 전분 가루 (밀가루로 대체 가능) 밥 깨 식용유 간장 맛술 물 생강가루 설탕 참기름
시금치 키쉬,초대요리 양식 안주 메인요리,박력분 버터 소금 찬물 달걀 노른자 시금치 방울토마토 다진양파 달걀 생크림 고다치즈 버터 소금 후춧가루
산더미 물갈비,한식 메인요리,소갈비 쇠고기 (샤부샤부용) 양파 대파 팽이버섯 느타리버섯 새송이버섯 미나리 콩나물 납작당면 (생략가능) 양파 대파 마늘 통후추 물 간장 설탕 다진 파 다진 마늘 후춧가루 고춧가루 고추장 참치액 국간장 다진 마늘 구운 소금 후춧가루
토마토 팍시,초대요리 다이어트 양식,토마토 양파 다진 마늘 소금 후춧가루 다진 쇠고기 빵가루 파마산 치즈 가루 모차렐라 피자 치즈 다진 파슬리 (생략 가능) 올리브오일 소금 후춧가루
빼곡 주스,간식,당근 귤
오일만 주스,간식 다이어트,사과 파슬리 레몬
얼갈이배추 된장국,한식,얼갈이배추 해감 모시조개 대파 청양고추 홍고추 소금 멸치 다시마 육수 된장 다진 마늘 고춧가루
어묵 김밥,한식 분식 메인요리,밥 어묵 청양고추 달걀 묵은지 김밥용 김 식용유 참기름 설탕 소금 맛술 물 간장 고춧가루 다진 마늘 올리고당 물 참기름 고춧가루 김치 국물 물 올리고당 소금 참기름 볶은 통깨
가지 갈비,메인요리 한식 채식,가지 새송이버섯 쪽파 통깨 불린 건표고 포도 씨 오일 간장 표고 불린 물 설탕 물엿 맛술 다진 마늘 참기름 후춧가루
키토 닭가슴살 샐러드,다이어트 도시락 키토 메인요리,페퍼 닭가슴살 아보카도 달걀 브로콜리 방울토마토 아몬드 베이비 잎채소 앤초비 양파 마늘 마요네즈 파마산 치즈 가루 설탕 식초 파슬리가루 후춧가루
칠리 닭가슴살 샌드위치,다이어트 도시락 메인요리,닭가슴살 토마토 양파 양상추 식빵 마요네즈 스리라차 소스 칠리소스 후춧가루
식빵 핫도그,간식,식빵 후랑크 소시지 모차렐라 슬라이스 치즈 달걀 꼬치 빵가루 튀김유 케첩 허니 머스타드 설탕
닭가슴살 곡물 샐러드,다이어트 도시락 메인요리,닭가슴살 소시지 율무 방울토마토 루꼴라 올리브오일 간장 식초 다진 양파 설탕 참기름 다진 마늘 소금 후춧가루
순두부 달걀탕,간단요리 한식 메인요리,순두부 달걀 대파 청양고추 멸치 다시마 물 새우젓 다진 마늘 후춧가루 소금
채식 짜장면,메인요리 중식 채식,양파 대파 다진 마늘 춘장 생강가루 식용유 중화면 설탕 소금 후춧가루 표고버섯 불린 물 오이 물 전분
타르티플레트,간단요리 양식 메인요리,감자 까망베르 치즈 양파 두꺼운 베이컨 버터 소금 후춧가루 파슬리
무 간장 장아찌,한식 밑반찬,무 양파 홍고추 청양고추 물 간장 현미 식초 설탕
돼지고기 무 수분 수육,초대요리 한식 메인요리,삼겹살 (수육용) 대파 사과 양파 마늘 생강 (마늘 1쪽 사이즈) 통후추 월계수잎 청주 된장 맛술 간장 두반장 설탕 다진 마늘 식초 고추기름
병아리콩 칩,간식 채식,삶은 병아리콩 올리브오일 파프리카 가루 카레가루 큐민 가루 시나몬 가루 소금 후춧가루
구운 고깔양배추 샐러드  ,양식 간단요리,고깔 양배추 올리브오일 베이컨 파마산 치즈 식빵 (또는 호밀빵) 버터 후춧가루 마요네즈 다진 마늘 홀그레인 머스터드 레몬즙 멸치액젓 (또는 앤초비) 파마산 치즈 올리브오일 소금 후춧가루
아스파라거스 구이,초대요리 채식 양식 메인요리,아스파라거스 레몬 마늘 올리브오일 소금 후춧가루
묵은지 들기름 볶음,한식 밑반찬,묵은지 대파 들기름 통깨 멸치 다시마 육수 들기름 식용유 설탕 참치액젓 다진 마늘
콜라비 고깔 양배추 피클,밑반찬,콜라비 고깔 양배추 비트 청양고추 딜 (생략 가능) 식초 물 식초 설탕 소금 피클링스파이스
삼겹살 배추 술찜 ,초대요리 양식 메인요리,대패삼겹살 (샤브용) 알배추 숙주 실파 화이트 와인 (또는 청주) 소금 후춧가루 간장 맛술 식초 설탕 유자청 시판 깨 소스 고추기름 다진 마늘
크림 연어구이,초대요리 양식 안주 메인요리,연어필렛 생크림 올리브오일 버터 마늘 양파 화이트와인 선드라이 토마토 (방울토마토로 대체 가능) 어린 시금치 (일반 시금치로 대체 가능) 파마산치즈 소금 후춧가루 파슬리 또는 딜
양배추 덮밥,간단요리 메인요리,양배추 참치캔 양파 밥 식용유 대파 다진 마늘 통깨 깻잎 달걀 참기름 고추장 고춧가루 간장 식초 설탕 올리고당 맛술
미니양배추 구이,초대요리 채식,미니양배추 통마늘 한줌 올리브오일 소금 후춧가루
상그리아,양식 초대요리,레드와인 탄산수 사과 오렌지 라임 레몬 비정제 설탕
샐러드 파스타,초대요리 채식 양식 메인요리,숏파스타 방울토마토 선 드라이 토마토 루꼴라 그린 올리브 키드니빈 통조림 올리브오일 레몬 제스트 레몬즙 소금 후춧가루 다진 마늘 비정제 설탕 다진 파슬리
산타 할아버지 토스트 ,초대요리 간식,식빵 리코타 치즈 땅콩잼 딸기 m&m 초콜릿
루돌프 토스트,초대요리 간단요리 간식,식빵 리코타 치즈 땅콩잼 m&m 초콜릿 (또는 블루베리) 딸기 막대과자 버터
트리 토스트,초대요리 간단요리 간식,식빵 리코타 치즈 청포도 타임 딸기잼 땅콩잼 슈가파우더 (생략 가능) 페퍼잭 치즈 (또는 체다 슬라이스 치즈) 파슬리
붕어빵,베이킹 간식,와플믹스 물 식용유 불린 팥 설탕 물엿 (또는 올리고당)
청양 마요 김밥,간단요리 한식 메인요리,청양고추 깻잎 스팸 밥 김밥용 김 통깨 고추냉이 마요네즈 설탕 소금 식초
쇠고기 버섯 솥밥,한식 메인요리,쌀 쇠고기 (불고기용) 표고버섯 새송이버섯 만가닥버섯 (또는 느타리버섯) 쪽파 (생략 가능) 다시마 육수 물 간장 설탕 맛술 다진 마늘 간장 맛술 올리고당 고춧가루 다진 마늘 다진 청양고추 참기름 통깨
새우 오일 파스타,초대요리 양식 메인요리,스파게티 마늘 흰다리새우 루꼴라 (생략 가능) 페페론치노 (또는 건고추) 이태리파슬리 (생략 가능) 올리브오일 치킨스톡 (고형) 소금 후춧가루
파스타 칩,안주 간식,리가토니 소금 올리브오일 파마산 치즈 가루 허브 가루 (생략 가능) 크림치즈 바질페스토 소금 후춧가루
에그누들 크림 파스타,간단요리 퓨전 메인요리,에그누들 식용유 소금 딱새우 (일반 새우로 대체 가능) 청귤 피스타치오 청귤 크림소스
에그누들 볶음,간단요리 퓨전 메인요리,에그누들 식용유 목살 볶음소스 우도 땅콩 쪽파 양파 당근 브로콜리
연어 브루스케타,간단요리 양식 안주 초대요리,훈제연어 슬라이스 바게트 메이플시럽 딜 (생략 가능) 크림치즈 레몬즙 메이플시럽 후추
어향가지,초대요리 중식 메인요리,가지 청양고추 건고추 홍고추 식용유 마늘 대파 전분가루 물 달걀흰자 고추기름 두반장 간장 맛술 식초 굴소스 참기름 설탕 물 후춧가루 전분물
채식 배추된장국,메인요리 한식 채식,배추 무 대파 청양고추 홍고추 쌀뜨물 두부 다시마 (5cm 너비) 된장 다진 마늘 고춧가루
감바스 알 아히요,메인요리 양식 초대요리,새우 마늘 양송이버섯 파슬리 페퍼론치노 바게트 올리브오일 소금 후춧가루
채식 김치 콩나물국,메인요리 간단요리 한식 채식,콩나물 김치 김칫국물 대파 홍고추 청양고추 (생략 가능) 다진 마늘 소금 국간장 다시마 물
표고 미역국,채식 한식 메인요리,건미역 (또는 불린 미역) 건표고 다시마 물 표고버섯 불린 물 들깨가루 들기름 국간장 맛술 다진 마늘 소금 후춧가루
참치 김치 볶음,한식 밑반찬,참치캔 썬 김치 양파 대파 통깨 참기름 식용유 간장 설탕 소금 후춧가루
베이컨 치즈 말이밥,도시락 메인요리,베이컨 슬라이스 치즈 김밥용 우엉 밥 파슬리 (또는 쪽파) 소금 참기름
소금빵,간식 간단요리 베이킹 메인요리,크루아상 생지 소금 버터
채소 전골,초대요리 채식 메인요리,알배추 깻잎 청경채 느타리버섯 팽이버섯 표고버섯 당근 두부 연근 단호박 유부 실 곤약 (생략 가능) 식용유 다시마 물 건표고 우린 물 소금 후춧가루 간장 맛술 국간장 소금 생강가루 후춧가루 양파 맛술 간장 레몬즙 또는 식초 비정제 설탕
간장 계란밥,간단요리 한식 메인요리,달걀 밥 김가루 간장 버터 통깨 쪽파 (대파로 대체 또는 생략 가능) 참기름(또는 들기름)
양배추 베이컨 볶음밥 ,간단요리 메인요리,양배추 베이컨 슬라이스 (또는 햄) 마늘 밥 쪽파 참기름 통깨 식용유 굴 소스 간장 소금 후춧가루
두부 무조림,한식 밑반찬,두부 무 청양고추 홍고추 양파 대파 멸치 다시마 육수 간장 고춧가루 고추장 올리고당 다진 마늘 설탕 후춧가루 식용유 생강가루 참치액젓
달걀 간장 비빔국수,한식 메인요리,달걀 소면 쪽파 통깨 진간장 올리고당 다진 마늘 설탕 참기름 후춧가루 통깨
굴 배춧국,한식 메인요리,굴 알배추 무 대파 홍고추 청양고추 멸치 다시마 육수 참기름 당근 (생략 가능) 국간장 다진 마늘 소금 후춧가루
늙은호박 영양 솥밥,한식 메인요리,손질 한 늙은호박 닭 안심 표고버섯 은행 쌀 찹쌀 다시마 육수 실파 참기름 소금 간장 맛술 간장 올리고당 고춧가루 다진 마늘 참기름 통깨 다진 파
두부 치즈 토스트,메인요리 퓨전 다이어트 간식,두부 체다 슬라이스 치즈 슬라이스 햄 쪽파 (생략 가능) 양배추 잎 당근 달걀 찹쌀가루 (전분이나 밀가루로 대체 가능) 소금 후춧가루 식용유
달걀밥,간단요리 한식 메인요리,밥 달걀 물 참치캔(작은캔) 피자치즈 대파 간장 청고추 (생략 가능) 홍고추 (생략 가능) 후춧가루
라이스페이퍼 꿔바로우,중식 퓨전 메인요리,돼지고기 등심 라이스페이퍼 대파 생강 맛술 식용유 깐마늘 간장 설탕 사과식초 물엿 물 전분 물
고사리 간장 비빔국수,한식 메인요리,고사리 소면 대파 청양고추 통깨 달걀노른자 소금 간장 올리고당 다진 마늘 설탕 참기름 후춧가루
알배추 파스타,간단요리 퓨전 메인요리,파스타면 페퍼론치노 알배추 마늘 쪽파 식용유 소금 후춧가루 들기름 국간장
돼지고기 김치찜,초대요리 한식 메인요리,통 삼겹살 (또는 목살) 신 김치 대파 홍고추 청양고추 멸치 다시마 육수 김치 국물 맛술 고춧가루 설탕 다진 마늘 후춧가루
연어 그라브락스 샐러드,양식 안주 다이어트 메인요리,연어 그라브락스 샐러드 채소 양파 퀴노아 요거트 마요네즈 레몬즙 올리고당 다진 마늘 후춧가루
무 짜글이,한식 메인요리,무 차돌박이 대파 홍고추 청양고추 다시마 멸치육수 (또는 쌀뜨물) 된장 고추장 다진 마늘 고춧가루
라이스페이퍼 만두,간식 퓨전 메인요리,라이스페이퍼 참치캔 작은 것 두부 달걀 양배추잎 깻잎 전분 식용유 참기름 다진 마늘 후춧가루 소금 다진 청양고추 간장 식초 피쉬소스 (액젓) 물
전자레인지 순두부 덮밥,간단요리 채식 메인요리,밥 순두부 애호박 양파 청양고추 파프리카 빨강 노랑 (생략 가능) 쪽파 통깨 비건 마요네즈 고추장 고춧가루 케첩 설탕 올리고당 간장 후춧가루 참기름
밤 수프,간식 메인요리,맛밤 삶은 고구마 양파 우유 치킨스톡 소금 후춧가루 버터 물
잔치 국수호박,간단요리 한식 메인요리,국수호박 달걀 표고버섯 청고추 홍고추 육수용 멸치 다시마 물 참치액 국간장 소금 후춧가루 간장 다진 마늘 고춧가루 후춧가루
미트볼 스파게티 ,양식 메인요리,스파게티 면 다진 쇠고기 양파 마늘 빵가루 달걀 소금 후추 파슬리 파마산 치즈 식용유 양파 토마토 마늘 시판 토마토소스 물 파마산 치즈 바질
낙지 초무침,초대요리 간단요리 한식 안주 메인요리,손질 낙지 양파 미나리 청양고추 홍고추 당근 소금 고추장 고춧가루 매실청 설탕 식초 다진 마늘 참기름 통깨
선 드라이 토마토 부르스게타,초대요리 안주 양식,바게트 통마늘 바질 잎 선 드라이 토마토 선 드라이 토마토 페이스트 올리브오일 리코타 치즈 부라타 치즈 소금 후춧가루
차돌박이 버섯전골,초대요리 메인요리,차돌박이 (또는 등심 목심) 느타리버섯 팽이버섯 새송이버섯 표고버섯 양파 대파 홍고추 미나리 애호박 다시마 육수 고추장 고춧가루 된장 다진 마늘 국간장 후춧가루 간장 식초 설탕 고추냉이
대파 닭고기 우동,간단요리 일식 메인요리,우동면 대파 청양고추 닭다리살 다시마 멸치 육수 소금 후춧가루 쯔유 맛술
단감 깍두기,한식 밑반찬,단감 대파 (흰 부분) 쪽파 통깨 멸치액젓 다진 마늘 고춧가루 매실청
관자 파스타,양식 메인요리,파스타 면 관자 화이트와인 레몬 페페론치노 마늘 버터 올리브오일 소금 후춧가루 이탈리안 파슬리
채식 순두부찌개,채식 한식 메인요리,잘게 썬 배추김치 (신김치) 순두부 애호박 표고버섯 대파 양파 청양고추 다시마 물 고추기름 소금 고춧가루 맛술 국간장 다진 마늘 후춧가루 들기름
에어프라이어 두부구이,초대요리 밑반찬 다이어트 메인요리,두부 간장 올리브오일 후춧가루 소금
채식 쪽파김치,채식 한식 밑반찬,쪽파 국간장 고춧가루 매실청 설탕 다진 마늘 찹쌀가루 다시마 물
라이스페이퍼 감자빵,간식 메인요리,라이스페이퍼 감자 슬라이스 햄 버터 마요네즈 소금 후춧가루 검은깨 검은콩 가루
굴 부추전,간단요리 한식 메인요리,굴 부추 청양고추 홍고추 식용유 부침가루 찬물 달걀 다진 마늘 참치액젓 레몬즙 설탕 진간장
굴 버터 덮밥,메인요리,굴 밀가루 무염 버터 달걀노른자 밥 레몬 쪽파 다진 마늘 간장 설탕 청주 생강가루 물 후춧가루
굴 파스타,양식 메인요리,파스타면 굴 레몬 화이트와인 페퍼론치노 마늘 대파 올리브오일 소금 후춧가루 파마산 치즈 딜 (또는 이탈리안 파슬리)
허니 버터 고구마,간식 메인요리,호박고구마 버터 꿀 피자치즈 파슬리가루
두부소박이,초대요리 한식 메인요리,두부 다진 쇠고기 표고버섯 오이 다진 마늘 당근 소금 식용유 부침가루 (생략 가능) 쪽파 (생략 가능) 간장 참기름 후춧가루 고추장 간장 설탕 참기름 물 후춧가루
비프 부르기뇽,양식 메인요리,쇠고기 사태 두꺼운 베이컨 당근 셀러리 양송이버섯 통마늘 양파 파슬리 올리브오일 버터 레드 와인 치킨스톡 (고형) + 물 토마토 페이스트 소금 후춧가루 월계수 잎 (생략 가능)
새송이 탕수,메인요리 퓨전 채식,새송이버섯 파프리카 (빨간색 노란색) 적양파 (양파로 대체 가능) 식용유 전분 간장 참기름 소금 후춧가루 (생략 가능) 진간장 올리고당 식초 설탕 물 전분 물 전분 물
밤 조림,간식 메인요리,밤 (껍질 제거 후 무게 1kg) 설탕 베이킹 식소다 간장
육전 비빔면,밑반찬 한식 메인요리,육전 중면 묵은지 오이 당근 쪽파 통깨 고추장 고춧가루 맛술 간장 설탕 식초 물엿 다진 마늘 참기름 통깨
배추 말이 물김치,한식 메인요리,배추 파프리카 (빨강 주황 노랑) 무 쪽파 굵은 소금 물 굵은 소금 까나리 액젓 다진 새우젓 다진 마늘 다진 생강 설탕 꽃소금 양파 파프리카 (빨간색) 씨를 제거 한 홍고추 배 무 다진 마늘 다진 생강 물 매실청 설탕 굵은 소금 물 찹쌀가루
소갈비 전골,한식 메인요리,소갈비 유부 주머니 가래떡 미나리 배추속대 만가닥 버섯 단호박 청경채 대파 숙주 물 무 양파 대파 마늘 통후추 간장 맛술 다진 마늘 설탕 참기름 후춧가루 국간장 다진 마늘 소금 후춧가루
애호박채전,메인요리 한식 안주 채식,애호박 양파 소금 통밀가루 식용유 간장 식초 물 청양고추 통깨
해초 김밥,한식 메인요리,모둠 건 해초 두부 밥 김밥용 김 오이 당근 식용유 소금 들기름 식초 설탕 간장 통깨 간장 설탕 들기름 소금 통깨 식초 물 설탕 소금
배추 말이 전,한식 메인요리,배추 무 소금 밀가루 식용유 부침가루 물 소금 간장 식초 맛술 설탕 다진 청양고추 다진 양파 참기름 통깨
해초 비빔밥,간단요리 한식 메인요리,모둠 건 해초 날치알 적양배추 오이 밥 참기름 고추장 다진 마늘 식초 설탕 매실청 고춧가루 통깨
돼지고기 수육 양념 조림,초대요리 한식 안주 메인요리,삼겹살 또는 오겹살 대파 부추 양파 묵은지 또는 명이나물 물 된장 청주 대파 양파 사과 통마늘 생강 (마늘 1쪽 사이즈) 통후추 건고추 월계수 잎 물 맛술 간장 굴소스 설탕 물엿 고운 고춧가루 생강 가루 간장 식초 설탕 참기름 통깨
불고기 파전,초대요리 한식 안주 메인요리,쇠고기(불고기용) 쪽파 양파 청양고추 홍고추 달걀 식용유 간장 설탕 다진 마늘 참기름 후춧가루 부침가루 찬물
곤드레 버섯 솥밥,한식 메인요리,쌀 건 곤드레 새송이버섯 들기름 다시마  육수 (또는 물) 들기름 간장 간장 맛술 올리고당 고춧가루 다진 마늘 다진 청양고추 참기름 통깨
토마토 크림치즈,양식 메인요리,크림치즈 썬드라이 토마토
닭가슴살 볶음밥,간단요리 다이어트 메인요리,닭가슴살 현미밥 시금치 마늘 대파 당근 식용유 통깨 소금 올리브오일 맛술 소금 후춧가루 파프리카 파우더 간장 굴소스
만능 땡초장,밑반찬 한식,청양고추 홍고추 양파 다진 마늘 식용유 멸치 다시마 육수 참치 액젓 국간장 참기름 통깨
구운 채소 카레,메인요리 채식,연근 단호박 브로콜리 고구마 감자 당근 가지 소금 후춧가루 파슬리 (생략 가능) 치아시드 (생략 가능) 불린 캐슈너트 통깨 참기름 파프리카 가루 토마토 양파 마늘 식용유 물 카레 가루 (또는 고형 카레) 소금
가지 데리야키 덮밥,간단요리 퓨전 메인요리,가지 쪽파 오일 통깨 밥 전분 가루 물 간장 맛술 올리고당 설탕 다진 마늘 생강즙 후춧가루
경양식 돈가스,메인요리,돼지고기 등심 달걀 밀가루 빵가루 맛술 소금 후춧가루 식용유 밀가루 버터 치킨스톡 맛술(생략가능) 케첩 우스터소스 간장 우유 설탕 후춧가루
닭가슴살 크랜베리 샌드위치,간식 다이어트 도시락 메인요리,통밀빵 익힌 닭가슴살 크랜베리 오이 루꼴라 마요네즈 그릭요거트 후추
퀴노아 샐러드 ,메인요리 다이어트 채식,퀴노아 토마토 적양파 고수 삶은 병아리콩 올리브오일 소금 후춧가루 커민 라임즙 (레몬즙으로 대체 가능)
가지 솥밥,초대요리 간단요리 한식 메인요리,가지 다진 쇠고기 불린 쌀 마늘 쪽파 식용유 다시마 육수 간장 두반장 설탕 다진 마늘 참기름 후춧가루 간장 맛술 다진 마늘 다진 청양고추 참기름 매실청 통깨 후춧가루
무화과 리코타 샐러드,간단요리 메인요리,무화과 로메인 상추 리코타 치즈 프로슈토 햄 화이트 발사믹 식초 (발사믹 식초로 대체 가능) 올리브오일 소금 후춧가루
무화과 샌드위치,간단요리 메인요리,식빵 무화과 생크림 설탕
그릭토마토 샐러드,간단요리 메인요리,토마토 그릭요거트 다진 견과류 루꼴라 (샐러드 채소로 대체 가능) 메이플 시럽 파마산 치즈 후춧가루
프렌치 감자 샐러드,초대요리 간단요리 양식 메인요리,감자 소금 딜 샬롯(양파 1/6개로 대체 가능) 다진 피클 베이컨 소금 올리브오일 레몬즙 디종 머스타드 홀그레인 머스타드 후춧가루
